card_code,rarity,is_parallel_name,name_ja,sell_price_jpy,buy_price_jpy,raw_sell_price_text,raw_buy_price_text,sell_url,buy_url,is_suspicious,error_message
hBP01-041,P,1,兎田ぺこら(パラレル/ベーシックPRパック vol.2),980,300,980 円,300 円,https://yuyu-tei.jp/sell/hocg/card/promo-hbp10/10031,https://yuyu-tei.jp/buy/hocg/card/promo-hbp10/10031,0,
hBP01-041,SR,1,兎田ぺこら(パラレル/hBP06),3980,1700,"3,980 円","1,700 円",https://yuyu-tei.jp/sell/hocg/card/hbp06/10213,https://yuyu-tei.jp/buy/hocg/card/hbp06/10213,0,
hBP01-041,U,0,兎田ぺこら,320,10,320 円,10 円,https://yuyu-tei.jp/sell/hocg/card/hbp01/10054,https://yuyu-tei.jp/buy/hocg/card/hbp01/10054,0,
hBP01-048,C,0,風真いろは,120,5,120 円,5 円,https://yuyu-tei.jp/sell/hocg/card/hbp01/10063,https://yuyu-tei.jp/buy/hocg/card/hbp01/10063,0,
hBP01-048,C,1,風真いろは(パラレル/hSD06),120,10,120 円,10 円,https://yuyu-tei.jp/sell/hocg/card/hsd06/10013,https://yuyu-tei.jp/buy/hocg/card/hsd06/10013,0,
hBP01-048,HR,1,風真いろは(パラレル/HR),14800,10000,"14,800 円","10,000 円",https://yuyu-tei.jp/sell/hocg/card/hbp06/10229,https://yuyu-tei.jp/buy/hocg/card/hbp06/10229,0,
hBP01-048,P,1,風真いろは(パラレル/ベーシックPRパック vol.1),1480,1000,"1,480 円","1,000 円",https://yuyu-tei.jp/sell/hocg/card/promo-hbp10/10013,https://yuyu-tei.jp/buy/hocg/card/promo-hbp10/10013,0,
hBP01-072,C,0,ハコス・ベールズ,80,,80 円,,https://yuyu-tei.jp/sell/hocg/card/hbp01/10090,,0,
hBP01-072,C,1,ハコス・ベールズ(パラレル/hBP06),50,,50 円,,https://yuyu-tei.jp/sell/hocg/card/hbp06/10218,,0,
hBP01-072,P,1,ハコス・ベールズ(パラレル/ベーシックPRパック vol.1),580,250,580 円,250 円,https://yuyu-tei.jp/sell/hocg/card/promo-hbp10/10015,https://yuyu-tei.jp/buy/hocg/card/promo-hbp10/10015,0,
hBP01-088,C,0,ムーナ・ホシノヴァ,180,2,180 円,2 円,https://yuyu-tei.jp/sell/hocg/card/hbp01/10107,https://yuyu-tei.jp/buy/hocg/card/hbp01/10107,0,
hBP01-088,C,1,ムーナ・ホシノヴァ(パラレル/hBP06),50,,50 円,,https://yuyu-tei.jp/sell/hocg/card/hbp06/10219,,0,
hBP01-088,P,1,ムーナ・ホシノヴァ(パラレル/エントリーPRパック vol.1),980,600,980 円,600 円,https://yuyu-tei.jp/sell/hocg/card/promo-hbp10/10008,https://yuyu-tei.jp/buy/hocg/card/promo-hbp10/10008,0,
hBP02-016,S,1,白銀ノエル(パラレル),1280,500,"1,280 円",500 円,https://yuyu-tei.jp/sell/hocg/card/hbp02/10033,https://yuyu-tei.jp/buy/hocg/card/hbp02/10033,0,
hBP02-016,SR,1,白銀ノエル(パラレル/hBP06),1780,800,"1,780 円",800 円,https://yuyu-tei.jp/sell/hocg/card/hbp06/10214,https://yuyu-tei.jp/buy/hocg/card/hbp06/10214,0,
hBP02-016,U,0,白銀ノエル,80,2,80 円,2 円,https://yuyu-tei.jp/sell/hocg/card/hbp02/10032,https://yuyu-tei.jp/buy/hocg/card/hbp02/10032,0,
hBP02-031,S,1,宝鐘マリン(パラレル),780,250,780 円,250 円,https://yuyu-tei.jp/sell/hocg/card/hbp02/10062,https://yuyu-tei.jp/buy/hocg/card/hbp02/10062,0,
hBP02-031,SR,1,宝鐘マリン(パラレル/hBP06),2980,1400,"2,980 円","1,400 円",https://yuyu-tei.jp/sell/hocg/card/hbp06/10215,https://yuyu-tei.jp/buy/hocg/card/hbp06/10215,0,
hBP02-031,U,0,宝鐘マリン,120,,120 円,,https://yuyu-tei.jp/sell/hocg/card/hbp02/10061,,0,
hBP02-054,C,0,森カリオペ,120,,120 円,,https://yuyu-tei.jp/sell/hocg/card/hbp02/10109,,0,
hBP02-054,C,1,森カリオペ(パラレル/hBP06),50,,50 円,,https://yuyu-tei.jp/sell/hocg/card/hbp06/10220,,0,
hBP02-054,HR,1,森カリオペ(パラレル/HR),7980,4000,"7,980 円","4,000 円",https://yuyu-tei.jp/sell/hocg/card/hbp06/10230,https://yuyu-tei.jp/buy/hocg/card/hbp06/10230,0,
