card_code,rarity,is_parallel_name,name_ja,sell_price_jpy,buy_price_jpy,raw_sell_price_text,raw_buy_price_text,sell_url,buy_url,is_suspicious,error_message
hBP01-081,RR,0,星街すいせい(エラッタ後),420,30,420 円,30 円,https://yuyu-tei.jp/sell/hocg/card/hbp01/10147,https://yuyu-tei.jp/buy/hocg/card/hbp01/10147,0,
hBP01-081,SR,1,星街すいせい(パラレル/1st Anniversary Celebration Set),3980,2800,"3,980 円","2,800 円",https://yuyu-tei.jp/sell/hocg/card/promo-hbp10/10125,https://yuyu-tei.jp/buy/hocg/card/promo-hbp10/10125,0,
hBP01-081,UR,1,星街すいせい(パラレル)(エラッタ前),1980,800,"1,980 円",800 円,https://yuyu-tei.jp/sell/hocg/card/hbp01/10100,https://yuyu-tei.jp/buy/hocg/card/hbp01/10100,0,
hBP02-013,RR,0,白上フブキ,320,10,320 円,10 円,https://yuyu-tei.jp/sell/hocg/card/hbp02/10026,https://yuyu-tei.jp/buy/hocg/card/hbp02/10026,0,
hBP02-013,SR,1,白上フブキ(パラレル/1st Anniversary Celebration Set),2980,1500,"2,980 円","1,500 円",https://yuyu-tei.jp/sell/hocg/card/promo-hbp10/10126,https://yuyu-tei.jp/buy/hocg/card/promo-hbp10/10126,0,
hBP02-013,UR,1,白上フブキ(パラレル),12800,10000,"12,800 円","10,000 円",https://yuyu-tei.jp/sell/hocg/card/hbp02/10028,https://yuyu-tei.jp/buy/hocg/card/hbp02/10028,0,
hBP03-030,RR,0,さくらみこ,420,30,420 円,30 円,https://yuyu-tei.jp/sell/hocg/card/hbp03/10064,https://yuyu-tei.jp/buy/hocg/card/hbp03/10064,0,
hBP03-030,SR,1,さくらみこ(パラレル/1st Anniversary Celebration Set),2480,800,"2,480 円",800 円,https://yuyu-tei.jp/sell/hocg/card/promo-hbp10/10127,https://yuyu-tei.jp/buy/hocg/card/promo-hbp10/10127,0,
hBP03-030,UR,1,さくらみこ(パラレル),5980,3000,"5,980 円","3,000 円",https://yuyu-tei.jp/sell/hocg/card/hbp03/10066,https://yuyu-tei.jp/buy/hocg/card/hbp03/10066,0,
hBP04-013,RR,0,博衣こより,220,30,220 円,30 円,https://yuyu-tei.jp/sell/hocg/card/hbp04/10028,https://yuyu-tei.jp/buy/hocg/card/hbp04/10028,0,
hBP04-013,SR,1,博衣こより(パラレル/1st Anniversary Celebration Set),1980,1400,"1,980 円","1,400 円",https://yuyu-tei.jp/sell/hocg/card/promo-hbp10/10128,https://yuyu-tei.jp/buy/hocg/card/promo-hbp10/10128,0,
hBP04-013,UR,1,博衣こより(パラレル),8980,4500,"8,980 円","4,500 円",https://yuyu-tei.jp/sell/hocg/card/hbp04/10030,https://yuyu-tei.jp/buy/hocg/card/hbp04/10030,0,
hBP04-059,RR,0,ラプラス・ダークネス,120,,120 円,,https://yuyu-tei.jp/sell/hocg/card/hbp04/10119,,0,
hBP04-059,SR,1,ラプラス・ダークネス(パラレル/1st Anniversary Celebration Set),1980,1000,"1,980 円","1,000 円",https://yuyu-tei.jp/sell/hocg/card/promo-hbp10/10129,https://yuyu-tei.jp/buy/hocg/card/promo-hbp10/10129,0,
hBP04-059,UR,1,ラプラス・ダークネス(パラレル),3980,2800,"3,980 円","2,800 円",https://yuyu-tei.jp/sell/hocg/card/hbp04/10121,https://yuyu-tei.jp/buy/hocg/card/hbp04/10121,0,
