card_code,rarity,is_parallel_name,name_ja,sell_price_jpy,buy_price_jpy,raw_sell_price_text,raw_buy_price_text,sell_url,buy_url,is_suspicious,error_message
hBP01-104,C,0,ふつうのパソコン,680,300,680 円,300 円,https://yuyu-tei.jp/sell/hocg/card/hbp01/10124,https://yuyu-tei.jp/buy/hocg/card/hbp01/10124,0,
hBP01-104,P,1,ふつうのパソコン(パラレル/ベーシックPRパック vol.1),780,250,780 円,250 円,https://yuyu-tei.jp/sell/hocg/card/promo-hbp10/10017,https://yuyu-tei.jp/buy/hocg/card/promo-hbp10/10017,0,
hBP01-104,SR,1,ふつうのパソコン(パラレル/一条莉々華),3480,2800,"3,480 円","2,800 円",https://yuyu-tei.jp/sell/hocg/card/ohc01/10001,https://yuyu-tei.jp/buy/hocg/card/ohc01/10001,0,
hBP02-076,C,0,カスタムパソコン,120,,120 円,,https://yuyu-tei.jp/sell/hocg/card/hbp02/10152,,0,
hBP02-076,S,1,カスタムパソコン(パラレル),420,30,420 円,30 円,https://yuyu-tei.jp/sell/hocg/card/hbp02/10153,https://yuyu-tei.jp/buy/hocg/card/hbp02/10153,0,
hBP02-076,SR,1,カスタムパソコン(パラレル/獅白ぼたん),500,150,500 円,150 円,https://yuyu-tei.jp/sell/hocg/card/ohc01/10002,https://yuyu-tei.jp/buy/hocg/card/ohc01/10002,0,
hBP02-077,C,0,レトロパソコン,180,2,180 円,2 円,https://yuyu-tei.jp/sell/hocg/card/hbp02/10154,https://yuyu-tei.jp/buy/hocg/card/hbp02/10154,0,
hBP02-077,S,1,レトロパソコン(パラレル),680,250,680 円,250 円,https://yuyu-tei.jp/sell/hocg/card/hbp02/10155,https://yuyu-tei.jp/buy/hocg/card/hbp02/10155,0,
hBP02-077,SR,1,レトロパソコン(パラレル/大空スバル),980,600,980 円,600 円,https://yuyu-tei.jp/sell/hocg/card/ohc01/10003,https://yuyu-tei.jp/buy/hocg/card/ohc01/10003,0,
hSD01-018,C,0,サブパソコン,120,10,120 円,10 円,https://yuyu-tei.jp/sell/hocg/card/hsd01/10018,https://yuyu-tei.jp/buy/hocg/card/hsd01/10018,0,
hSD01-018,P,1,サブパソコン(パラレル/ベーシックPRパック vol.3),780,350,780 円,350 円,https://yuyu-tei.jp/sell/hocg/card/promo-hsd10/10009,https://yuyu-tei.jp/buy/hocg/card/promo-hsd10/10009,0,
hSD01-018,SR,1,サブパソコン(パラレル/姫森ルーナ),980,500,980 円,500 円,https://yuyu-tei.jp/sell/hocg/card/ohc01/10004,https://yuyu-tei.jp/buy/hocg/card/ohc01/10004,0,
hSD01-019,C,0,スゴイパソコン,50,,50 円,,https://yuyu-tei.jp/sell/hocg/card/hsd01/10019,,0,
hSD01-019,SR,1,スゴイパソコン(パラレル/博衣こより),680,250,680 円,250 円,https://yuyu-tei.jp/sell/hocg/card/ohc01/10005,https://yuyu-tei.jp/buy/hocg/card/ohc01/10005,0,
