card_code,rarity,is_parallel_name,name_ja,sell_price_jpy,buy_price_jpy,raw_sell_price_text,raw_buy_price_text,sell_url,buy_url,is_suspicious,error_message
hBD24-001,P,0,パヴォリア・レイネ,49800,25000,"49,800 円","25,000 円",https://yuyu-tei.jp/sell/hocg/card/promo-hbd20/10001,https://yuyu-tei.jp/buy/hocg/card/promo-hbd20/10001,0,
hBD24-002,P,0,獅白ぼたん,9980,5000,"9,980 円","5,000 円",https://yuyu-tei.jp/sell/hocg/card/promo-hbd20/10002,https://yuyu-tei.jp/buy/hocg/card/promo-hbd20/10002,0,
hBD24-003,P,0,戌神ころね,17800,10000,"17,800 円","10,000 円",https://yuyu-tei.jp/sell/hocg/card/promo-hbd20/10003,https://yuyu-tei.jp/buy/hocg/card/promo-hbd20/10003,0,
hBD24-004,P,0,白上フブキ,7980,4000,"7,980 円","4,000 円",https://yuyu-tei.jp/sell/hocg/card/promo-hbd20/10004,https://yuyu-tei.jp/buy/hocg/card/promo-hbd20/10004,0,
hBD24-005,P,0,姫森ルーナ,12800,10000,"12,800 円","10,000 円",https://yuyu-tei.jp/sell/hocg/card/promo-hbd20/10005,https://yuyu-tei.jp/buy/hocg/card/promo-hbd20/10005,0,
hBD24-006,P,0,クレイジー・オリー,39800,30000,"39,800 円","30,000 円",https://yuyu-tei.jp/sell/hocg/card/promo-hbd20/10006,https://yuyu-tei.jp/buy/hocg/card/promo-hbd20/10006,0,
hBD24-007,P,0,ジジ・ムリン,17800,6000,"17,800 円","6,000 円",https://yuyu-tei.jp/sell/hocg/card/promo-hbd20/10007,https://yuyu-tei.jp/buy/hocg/card/promo-hbd20/10007,0,
hBD24-008,P,0,ベスティア・ゼータ,12800,6500,"12,800 円","6,500 円",https://yuyu-tei.jp/sell/hocg/card/promo-hbd20/10008,https://yuyu-tei.jp/buy/hocg/card/promo-hbd20/10008,0,
hBD24-009,P,0,セシリア・イマーグリーン,14800,10000,"14,800 円","10,000 円",https://yuyu-tei.jp/sell/hocg/card/promo-hbd20/10009,https://yuyu-tei.jp/buy/hocg/card/promo-hbd20/10009,0,
hBD24-010,P,0,雪花ラミィ,12800,6500,"12,800 円","6,500 円",https://yuyu-tei.jp/sell/hocg/card/promo-hbd20/10010,https://yuyu-tei.jp/buy/hocg/card/promo-hbd20/10010,0,
hBD24-011,P,0,ネリッサ・レイヴンクロフト,9980,7000,"9,980 円","7,000 円",https://yuyu-tei.jp/sell/hocg/card/promo-hbd20/10011,https://yuyu-tei.jp/buy/hocg/card/promo-hbd20/10011,0,
hBD24-012,P,0,白銀ノエル,6980,2400,"6,980 円","2,400 円",https://yuyu-tei.jp/sell/hocg/card/promo-hbd20/10012,https://yuyu-tei.jp/buy/hocg/card/promo-hbd20/10012,0,
hBD24-013,P,0,紫咲シオン,8980,3200,"8,980 円","3,200 円",https://yuyu-tei.jp/sell/hocg/card/promo-hbd20/10013,https://yuyu-tei.jp/buy/hocg/card/promo-hbd20/10013,0,
hBD24-014,P,0,こぼ・かなえる,7980,4000,"7,980 円","4,000 円",https://yuyu-tei.jp/sell/hocg/card/promo-hbd20/10014,https://yuyu-tei.jp/buy/hocg/card/promo-hbd20/10014,0,
hBD24-015,P,0,百鬼あやめ,12800,6000,"12,800 円","6,000 円",https://yuyu-tei.jp/sell/hocg/card/promo-hbd20/10015,https://yuyu-tei.jp/buy/hocg/card/promo-hbd20/10015,0,
hBD24-016,P,0,沙花叉クロヱ,3980,1700,"3,980 円","1,700 円",https://yuyu-tei.jp/sell/hocg/card/promo-hbd20/10016,https://yuyu-tei.jp/buy/hocg/card/promo-hbd20/10016,0,
hBD24-017,P,0,兎田ぺこら,4980,1700,"4,980 円","1,700 円",https://yuyu-tei.jp/sell/hocg/card/promo-hbd20/10017,https://yuyu-tei.jp/buy/hocg/card/promo-hbd20/10017,0,
hBD24-018,P,0,アユンダ・リス,12800,9000,"12,800 円","9,000 円",https://yuyu-tei.jp/sell/hocg/card/promo-hbd20/10018,https://yuyu-tei.jp/buy/hocg/card/promo-hbd20/10018,0,
hBD24-019,P,0,尾丸ポルカ,12800,6500,"12,800 円","6,500 円",https://yuyu-tei.jp/sell/hocg/card/promo-hbd20/10019,https://yuyu-tei.jp/buy/hocg/card/promo-hbd20/10019,0,
hBD24-020,P,0,フワワ・アビスガード,7980,6000,"7,980 円","6,000 円",https://yuyu-tei.jp/sell/hocg/card/promo-hbd20/10020,https://yuyu-tei.jp/buy/hocg/card/promo-hbd20/10020,0,
hBD24-021,P,0,モココ・アビスガード,7980,3000,"7,980 円","3,000 円",https://yuyu-tei.jp/sell/hocg/card/promo-hbd20/10021,https://yuyu-tei.jp/buy/hocg/card/promo-hbd20/10021,0,
hBD24-022,P,0,儒烏風亭らでん,7980,4000,"7,980 円","4,000 円",https://yuyu-tei.jp/sell/hocg/card/promo-hbd20/10022,https://yuyu-tei.jp/buy/hocg/card/promo-hbd20/10022,0,
hBD24-023,P,0,癒月ちょこ,12800,9000,"12,800 円","9,000 円",https://yuyu-tei.jp/sell/hocg/card/promo-hbd20/10023,https://yuyu-tei.jp/buy/hocg/card/promo-hbd20/10023,0,
hBD24-024,P,0,ムーナ・ホシノヴァ,12800,6000,"12,800 円","6,000 円",https://yuyu-tei.jp/sell/hocg/card/promo-hbd20/10024,https://yuyu-tei.jp/buy/hocg/card/promo-hbd20/10024,0,
hBD24-025,P,0,アキ・ローゼンタール,17800,10000,"17,800 円","10,000 円",https://yuyu-tei.jp/sell/hocg/card/promo-hbd20/10025,https://yuyu-tei.jp/buy/hocg/card/promo-hbd20/10025,0,
hBD24-026,P,0,猫又おかゆ,7980,6000,"7,980 円","6,000 円",https://yuyu-tei.jp/sell/hocg/card/promo-hbd20/10026,https://yuyu-tei.jp/buy/hocg/card/promo-hbd20/10026,0,
hBD24-027,P,0,火威青,5980,4500,"5,980 円","4,500 円",https://yuyu-tei.jp/sell/hocg/card/promo-hbd20/10027,https://yuyu-tei.jp/buy/hocg/card/promo-hbd20/10027,0,
hBD24-028,P,0,ハコス・ベールズ,8980,3600,"8,980 円","3,600 円",https://yuyu-tei.jp/sell/hocg/card/promo-hbd20/10028,https://yuyu-tei.jp/buy/hocg/card/promo-hbd20/10028,0,
hBD24-029,P,0,さくらみこ,4980,3500,"4,980 円","3,500 円",https://yuyu-tei.jp/sell/hocg/card/promo-hbd20/10029,https://yuyu-tei.jp/buy/hocg/card/promo-hbd20/10029,0,
hBD24-030,P,0,アーニャ・メルフィッサ,9980,7000,"9,980 円","7,000 円",https://yuyu-tei.jp/sell/hocg/card/promo-hbd20/10030,https://yuyu-tei.jp/buy/hocg/card/promo-hbd20/10030,0,
hBD24-031,P,0,オーロ・クロニー,8980,6200,"8,980 円","6,200 円",https://yuyu-tei.jp/sell/hocg/card/promo-hbd20/10031,https://yuyu-tei.jp/buy/hocg/card/promo-hbd20/10031,0,
hBD24-032,P,0,博衣こより,7980,6000,"7,980 円","6,000 円",https://yuyu-tei.jp/sell/hocg/card/promo-hbd20/10032,https://yuyu-tei.jp/buy/hocg/card/promo-hbd20/10032,0,
hBD24-033,P,0,IRyS,7980,6000,"7,980 円","6,000 円",https://yuyu-tei.jp/sell/hocg/card/promo-hbd20/10033,https://yuyu-tei.jp/buy/hocg/card/promo-hbd20/10033,0,
hBD24-034,P,0,星街すいせい,5980,4500,"5,980 円","4,500 円",https://yuyu-tei.jp/sell/hocg/card/promo-hbd20/10034,https://yuyu-tei.jp/buy/hocg/card/promo-hbd20/10034,0,
hBD24-035,P,0,桃鈴ねね,6980,5000,"6,980 円","5,000 円",https://yuyu-tei.jp/sell/hocg/card/promo-hbd20/10035,https://yuyu-tei.jp/buy/hocg/card/promo-hbd20/10035,0,
hBD24-036,P,0,不知火フレア,6980,5000,"6,980 円","5,000 円",https://yuyu-tei.jp/sell/hocg/card/promo-hbd20/10036,https://yuyu-tei.jp/buy/hocg/card/promo-hbd20/10036,0,
hBD24-037,P,0,森カリオペ,9980,7000,"9,980 円","7,000 円",https://yuyu-tei.jp/sell/hocg/card/promo-hbd20/10037,https://yuyu-tei.jp/buy/hocg/card/promo-hbd20/10037,0,
hBD24-038,P,0,古石ビジュー,7980,6000,"7,980 円","6,000 円",https://yuyu-tei.jp/sell/hocg/card/promo-hbd20/10038,https://yuyu-tei.jp/buy/hocg/card/promo-hbd20/10038,0,
hBD24-039,P,0,音乃瀬奏,7980,6000,"7,980 円","6,000 円",https://yuyu-tei.jp/sell/hocg/card/promo-hbd20/10039,https://yuyu-tei.jp/buy/hocg/card/promo-hbd20/10039,0,
hBD24-040,P,0,天音かなた,6980,5000,"6,980 円","5,000 円",https://yuyu-tei.jp/sell/hocg/card/promo-hbd20/10040,https://yuyu-tei.jp/buy/hocg/card/promo-hbd20/10040,0,
hBD24-041,P,0,エリザベス・ローズ・ブラッドフレイム,8980,6200,"8,980 円","6,200 円",https://yuyu-tei.jp/sell/hocg/card/promo-hbd20/10041,https://yuyu-tei.jp/buy/hocg/card/promo-hbd20/10041,0,
hBD24-042,P,0,シオリ・ノヴェラ,12800,9000,"12,800 円","9,000 円",https://yuyu-tei.jp/sell/hocg/card/promo-hbd20/10042,https://yuyu-tei.jp/buy/hocg/card/promo-hbd20/10042,0,
