expansion,card_code,name_ja,card_page_url,image_url,release_dates,products,illustrator_name,qa_count,qa_text,effect_text
hPR,hBD24-041,エリザベス・ローズ・ブラッドフレイム,https://hololive-official-cardgame.com/cardlist/?id=1413&%2Fcardlist%2Fcardsearch_ex=&expansion=hPR&view=image,https://hololive-official-cardgame.com/wp-content/images/cardlist/hPR/hBD24-041_P.png,,PRカード,イラストレーター名：ye_jjiカードナンバー：hBD24-041,0,,"カードタイプ
推しホロメン
レアリティ
P
収録商品
PRカード
色
LIFE
5
推しスキル
[ホロパワー：-2]
レッドエンハンス
[ターンに1回]このターンの間、自分の赤ホロメン1人のアーツ+20。
SP推しスキル
[ホロパワー：-2]
Birthday Gift ～Red～
[ゲームに1回]自分のデッキから、赤ホロメン1枚を公開し、手札に加える。そしてデッキをシャッフルする。
イラストレーター名：
ye_jji
カードナンバー：
hBD24-041"
hPR,hBD24-042,シオリ・ノヴェラ,https://hololive-official-cardgame.com/cardlist/?id=1414&%2Fcardlist%2Fcardsearch_ex=&expansion=hPR&view=image,https://hololive-official-cardgame.com/wp-content/images/cardlist/hPR/hBD24-042_P.png,,PRカード,イラストレーター名：Nebradiskカードナンバー：hBD24-042,0,,"カードタイプ
推しホロメン
レアリティ
P
収録商品
PRカード
色
LIFE
5
推しスキル
[ホロパワー：-2]
ブルーエンハンス
[ターンに1回]このターンの間、自分の青ホロメン1人のアーツ+20。
SP推しスキル
[ホロパワー：-2]
Birthday Gift ～Blue～
[ゲームに1回]自分のデッキから、青ホロメン1枚を公開し、手札に加える。そしてデッキをシャッフルする。
イラストレーター名：
Nebradisk
カードナンバー：
hBD24-042"
hPR,hBD24-045,ときのそら,https://hololive-official-cardgame.com/cardlist/?id=1417&%2Fcardlist%2Fcardsearch_ex=&expansion=hPR&view=image,https://hololive-official-cardgame.com/wp-content/images/cardlist/hPR/hBD24-045_P.png,,PRカード,イラストレーター名：おるだんカードナンバー：hBD24-045,0,,"カードタイプ
推しホロメン
レアリティ
P
収録商品
PRカード
色
LIFE
5
推しスキル
[ホロパワー：-2]
ホワイトエンハンス
[ターンに1回]このターンの間、自分の白ホロメン1人のアーツ+20。
SP推しスキル
[ホロパワー：-2]
Birthday Gift ～White～
[ゲームに1回]自分のデッキから、白ホロメン1枚を公開し、手札に加える。そしてデッキをシャッフルする。
イラストレーター名：
おるだん
カードナンバー：
hBD24-045"
hPR,hBD24-046,一伊那尓栖,https://hololive-official-cardgame.com/cardlist/?id=1418&%2Fcardlist%2Fcardsearch_ex=&expansion=hPR&view=image,https://hololive-official-cardgame.com/wp-content/images/cardlist/hPR/hBD24-046_P.png,,PRカード,イラストレーター名：chibiカードナンバー：hBD24-046,0,,"カードタイプ
推しホロメン
レアリティ
P
収録商品
PRカード
色
LIFE
5
推しスキル
[ホロパワー：-2]
パープルエンハンス
[ターンに1回]このターンの間、自分の紫ホロメン1人のアーツ+20。
SP推しスキル
[ホロパワー：-2]
Birthday Gift ～Purple～
[ゲームに1回]自分のデッキから、紫ホロメン1枚を公開し、手札に加える。そしてデッキをシャッフルする。
イラストレーター名：
chibi
カードナンバー：
hBD24-046"
hPR,hBD24-051,轟はじめ,https://hololive-official-cardgame.com/cardlist/?id=1423&%2Fcardlist%2Fcardsearch_ex=&expansion=hPR&view=image,https://hololive-official-cardgame.com/wp-content/images/cardlist/hPR/hBD24-051_P.png,,PRカード,イラストレーター名：Aちきカードナンバー：hBD24-051,0,,"カードタイプ
推しホロメン
レアリティ
P
収録商品
PRカード
色
LIFE
5
推しスキル
[ホロパワー：-2]
ホワイトエンハンス
[ターンに1回]このターンの間、自分の白ホロメン1人のアーツ+20。
SP推しスキル
[ホロパワー：-2]
Birthday Gift ～White～
[ゲームに1回]自分のデッキから、白ホロメン1枚を公開し、手札に加える。そしてデッキをシャッフルする。
イラストレーター名：
Aちき
カードナンバー：
hBD24-051"
hPR,hBD24-053,水宮枢,https://hololive-official-cardgame.com/cardlist/?id=1425&%2Fcardlist%2Fcardsearch_ex=&expansion=hPR&view=image,https://hololive-official-cardgame.com/wp-content/images/cardlist/hPR/hBD24-053_P.png,,PRカード,イラストレーター名：みすみカードナンバー：hBD24-053,0,,"カードタイプ
推しホロメン
レアリティ
P
収録商品
PRカード
色
LIFE
5
推しスキル
[ホロパワー：-2]
ブルーエンハンス
[ターンに1回]このターンの間、自分の青ホロメン1人のアーツ+20。
SP推しスキル
[ホロパワー：-2]
Birthday Gift ～Blue～
[ゲームに1回]自分のデッキから、青ホロメン1枚を公開し、手札に加える。そしてデッキをシャッフルする。
イラストレーター名：
みすみ
カードナンバー：
hBD24-053"
hPR,hBD24-055,AZKi,https://hololive-official-cardgame.com/cardlist/?id=1427&%2Fcardlist%2Fcardsearch_ex=&expansion=hPR&view=image,https://hololive-official-cardgame.com/wp-content/images/cardlist/hPR/hBD24-055_P.png,,PRカード,イラストレーター名：D福カードナンバー：hBD24-055,0,,"カードタイプ
推しホロメン
レアリティ
P
収録商品
PRカード
色
LIFE
5
推しスキル
[ホロパワー：-2]
グリーンエンハンス
[ターンに1回]このターンの間、自分の緑ホロメン1人のアーツ+20。
SP推しスキル
[ホロパワー：-2]
Birthday Gift ～Green～
[ゲームに1回]自分のデッキから、緑ホロメン1枚を公開し、手札に加える。そしてデッキをシャッフルする。
イラストレーター名：
D福
カードナンバー：
hBD24-055"
hPR,hBD24-057,小鳥遊キアラ,https://hololive-official-cardgame.com/cardlist/?id=1429&%2Fcardlist%2Fcardsearch_ex=&expansion=hPR&view=image,https://hololive-official-cardgame.com/wp-content/images/cardlist/hPR/hBD24-057_P.png,,PRカード,イラストレーター名：DOTORIカードナンバー：hBD24-057,0,,"カードタイプ
推しホロメン
レアリティ
P
収録商品
PRカード
色
LIFE
5
推しスキル
[ホロパワー：-2]
レッドエンハンス
[ターンに1回]このターンの間、自分の赤ホロメン1人のアーツ+20。
SP推しスキル
[ホロパワー：-2]
Birthday Gift ～Red～
[ゲームに1回]自分のデッキから、赤ホロメン1枚を公開し、手札に加える。そしてデッキをシャッフルする。
イラストレーター名：
DOTORI
カードナンバー：
hBD24-057"
hPR,hBD24-058,輪堂千速,https://hololive-official-cardgame.com/cardlist/?id=1430&%2Fcardlist%2Fcardsearch_ex=&expansion=hPR&view=image,https://hololive-official-cardgame.com/wp-content/images/cardlist/hPR/hBD24-058_P.png,,PRカード,イラストレーター名：トリダモノカードナンバー：hBD24-058,0,,"カードタイプ
推しホロメン
レアリティ
P
収録商品
PRカード
色
LIFE
5
推しスキル
[ホロパワー：-2]
グリーンエンハンス
[ターンに1回]このターンの間、自分の緑ホロメン1人のアーツ+20。
SP推しスキル
[ホロパワー：-2]
Birthday Gift ～Green～
[ゲームに1回]自分のデッキから、緑ホロメン1枚を公開し、手札に加える。そしてデッキをシャッフルする。
イラストレーター名：
トリダモノ
カードナンバー：
hBD24-058"
hPR,hBD24-059,アイラニ・イオフィフティーン,https://hololive-official-cardgame.com/cardlist/?id=1431&%2Fcardlist%2Fcardsearch_ex=&expansion=hPR&view=image,https://hololive-official-cardgame.com/wp-content/images/cardlist/hPR/hBD24-059_P.png,,PRカード,イラストレーター名：夜ノみつきカードナンバー：hBD24-059,0,,"カードタイプ
推しホロメン
レアリティ
P
収録商品
PRカード
色
LIFE
5
推しスキル
[ホロパワー：-2]
グリーンエンハンス
[ターンに1回]このターンの間、自分の緑ホロメン1人のアーツ+20。
SP推しスキル
[ホロパワー：-2]
Birthday Gift ～Green～
[ゲームに1回]自分のデッキから、緑ホロメン1枚を公開し、手札に加える。そしてデッキをシャッフルする。
イラストレーター名：
夜ノみつき
カードナンバー：
hBD24-059"
hPR,hBD24-060,虎金妃笑虎,https://hololive-official-cardgame.com/cardlist/?id=1432&%2Fcardlist%2Fcardsearch_ex=&expansion=hPR&view=image,https://hololive-official-cardgame.com/wp-content/images/cardlist/hPR/hBD24-060_P.png,,PRカード,イラストレーター名：鉄一カードナンバー：hBD24-060,0,,"カードタイプ
推しホロメン
レアリティ
P
収録商品
PRカード
色
LIFE
5
推しスキル
[ホロパワー：-2]
イエローエンハンス
[ターンに1回]このターンの間、自分の黄ホロメン1人のアーツ+20。
SP推しスキル
[ホロパワー：-2]
Birthday Gift ～Yellow～
[ゲームに1回]自分のデッキから、黄ホロメン1枚を公開し、手札に加える。そしてデッキをシャッフルする。
イラストレーター名：
鉄一
カードナンバー：
hBD24-060"
hPR,hBD24-061,宝鐘マリン,https://hololive-official-cardgame.com/cardlist/?id=1433&%2Fcardlist%2Fcardsearch_ex=&expansion=hPR&view=image,https://hololive-official-cardgame.com/wp-content/images/cardlist/hPR/hBD24-061_P.png,,PRカード,イラストレーター名：あかさあいカードナンバー：hBD24-061,0,,"カードタイプ
推しホロメン
レアリティ
P
収録商品
PRカード
色
LIFE
5
推しスキル
[ホロパワー：-2]
レッドエンハンス
[ターンに1回]このターンの間、自分の赤ホロメン1人のアーツ+20。
SP推しスキル
[ホロパワー：-2]
Birthday Gift ～Red～
[ゲームに1回]自分のデッキから、赤ホロメン1枚を公開し、手札に加える。そしてデッキをシャッフルする。
イラストレーター名：
あかさあい
カードナンバー：
hBD24-061"
hPR,hBD24-062,常闇トワ,https://hololive-official-cardgame.com/cardlist/?id=1434&%2Fcardlist%2Fcardsearch_ex=&expansion=hPR&view=image,https://hololive-official-cardgame.com/wp-content/images/cardlist/hPR/hBD24-062_P.png,,PRカード,イラストレーター名：rurudoカードナンバー：hBD24-062,0,,"カードタイプ
推しホロメン
レアリティ
P
収録商品
PRカード
色
LIFE
5
推しスキル
[ホロパワー：-2]
パープルエンハンス
[ターンに1回]このターンの間、自分の紫ホロメン1人のアーツ+20。
SP推しスキル
[ホロパワー：-2]
Birthday Gift ～Purple～
[ゲームに1回]自分のデッキから、紫ホロメン1枚を公開し、手札に加える。そしてデッキをシャッフルする。
イラストレーター名：
rurudo
カードナンバー：
hBD24-062"
hPR,hBD24-063,赤井はあと,https://hololive-official-cardgame.com/cardlist/?id=1435&%2Fcardlist%2Fcardsearch_ex=&expansion=hPR&view=image,https://hololive-official-cardgame.com/wp-content/images/cardlist/hPR/hBD24-063_P.png,,PRカード,イラストレーター名：MISSILE228カードナンバー：hBD24-063,0,,"カードタイプ
推しホロメン
レアリティ
P
収録商品
PRカード
色
LIFE
5
推しスキル
[ホロパワー：-2]
レッドエンハンス
[ターンに1回]このターンの間、自分の赤ホロメン1人のアーツ+20。
SP推しスキル
[ホロパワー：-2]
Birthday Gift ～Red～
[ゲームに1回]自分のデッキから、赤ホロメン1枚を公開し、手札に加える。そしてデッキをシャッフルする。
イラストレーター名：
MISSILE228
カードナンバー：
hBD24-063"
hPR,hBD24-064,大神ミオ,https://hololive-official-cardgame.com/cardlist/?id=1436&%2Fcardlist%2Fcardsearch_ex=&expansion=hPR&view=image,https://hololive-official-cardgame.com/wp-content/images/cardlist/hPR/hBD24-064_P.png,,PRカード,イラストレーター名：泉彩カードナンバー：hBD24-064,0,,"カードタイプ
推しホロメン
レアリティ
P
収録商品
PRカード
色
LIFE
5
推しスキル
[ホロパワー：-2]
グリーンエンハンス
[ターンに1回]このターンの間、自分の緑ホロメン1人のアーツ+20。
SP推しスキル
[ホロパワー：-2]
Birthday Gift ～Green～
[ゲームに1回]自分のデッキから、緑ホロメン1枚を公開し、手札に加える。そしてデッキをシャッフルする。
イラストレーター名：
泉彩
カードナンバー：
hBD24-064"
hPR,hBD24-065,綺々羅々ヴィヴィ,https://hololive-official-cardgame.com/cardlist/?id=1437&%2Fcardlist%2Fcardsearch_ex=&expansion=hPR&view=image,https://hololive-official-cardgame.com/wp-content/images/cardlist/hPR/hBD24-065_P.png,,PRカード,イラストレーター名：noncoカードナンバー：hBD24-065,0,,"カードタイプ
推しホロメン
レアリティ
P
収録商品
PRカード
色
LIFE
5
推しスキル
[ホロパワー：-2]
パープルエンハンス
[ターンに1回]このターンの間、自分の紫ホロメン1人のアーツ+20。
SP推しスキル
[ホロパワー：-2]
Birthday Gift ～Purple～
[ゲームに1回]自分のデッキから、紫ホロメン1枚を公開し、手札に加える。そしてデッキをシャッフルする。
イラストレーター名：
nonco
カードナンバー：
hBD24-065"
hPR,hBD24-066,カエラ・コヴァルスキア,https://hololive-official-cardgame.com/cardlist/?id=1438&%2Fcardlist%2Fcardsearch_ex=&expansion=hPR&view=image,https://hololive-official-cardgame.com/wp-content/images/cardlist/hPR/hBD24-066_P.png,,PRカード,イラストレーター名：もちみこカードナンバー：hBD24-066,0,,"カードタイプ
推しホロメン
レアリティ
P
収録商品
PRカード
色
LIFE
5
推しスキル
[ホロパワー：-2]
レッドエンハンス
[ターンに1回]このターンの間、自分の赤ホロメン1人のアーツ+20。
SP推しスキル
[ホロパワー：-2]
Birthday Gift ～Red～
[ゲームに1回]自分のデッキから、赤ホロメン1枚を公開し、手札に加える。そしてデッキをシャッフルする。
イラストレーター名：
もちみこ
カードナンバー：
hBD24-066"
hPR,hBD24-001,パヴォリア・レイネ,https://hololive-official-cardgame.com/cardlist/?id=199&%2Fcardlist%2Fcardsearch_ex=&expansion=hPR&view=image,https://hololive-official-cardgame.com/wp-content/images/cardlist/hPR/hBD24-001_P.png,,PRカード,イラストレーター名：飯田ぽち。カードナンバー：hBD24-001,0,,"カードタイプ
推しホロメン
レアリティ
P
収録商品
PRカード
色
LIFE
5
推しスキル
[ホロパワー：-2]
グリーンエンハンス
[ターンに１回]このターンの間、自分の緑ホロメン１人のアーツ+20。
SP推しスキル
[ホロパワー：-2]
Birthday Gift ～Green～
[ゲームに１回]自分のデッキから、緑ホロメン１枚を公開し、手札に加える。そしてデッキをシャッフルする。
イラストレーター名：
飯田ぽち。
カードナンバー：
hBD24-001"
