expansion,card_code,name_ja,card_page_url,image_url,release_dates,products,illustrator_name,qa_count,qa_text,effect_text
hSD02,hSD02-012,いろはにほへっと あやふぶみ,https://hololive-official-cardgame.com/cardlist/?id=236&%2Fcardlist%2Fcardsearch_ex=&expansion=hSD02&view=image,https://hololive-official-cardgame.com/wp-content/images/cardlist/hSD02/hSD02-012_U.png,2024年12月20日(金),スタートデッキ 赤 百鬼あやめ,イラストレーター名：林けゐカードナンバー：hSD02-012,1,"Q: Q hSD02-012〈いろはにほへっと あやふぶみ〉の「このカードは、自分の手札がこのカードを含まずに6枚以下でなければ使えない。」とは6枚の時も含みますか。
A: A はい、含みます。","カードタイプ
サポート・イベント・LIMITED
レアリティ
U
収録商品
スタートデッキ 赤 百鬼あやめ
能力テキスト
このカードは、自分の手札がこのカードを含まずに6枚以下でなければ使えない。
自分のデッキの上から4枚を見る。その中から、〈白上フブキ〉と〈大神ミオ〉と〈百鬼あやめ〉を好きな枚数公開し、公開したホロメンを手札に加える。そして残ったカードを好きな順でデッキの下に戻す。
LIMITED：ターンに１枚しか使えない。
イラストレーター名：
林けゐ
カードナンバー：
hSD02-012"
hSD02,hSD02-013,阿修羅＆羅刹,https://hololive-official-cardgame.com/cardlist/?id=237&%2Fcardlist%2Fcardsearch_ex=&expansion=hSD02&view=image,https://hololive-official-cardgame.com/wp-content/images/cardlist/hSD02/hSD02-013_C.png,2024年12月20日(金),スタートデッキ 赤 百鬼あやめ,イラストレーター名：はずきカードナンバー：hSD02-013,0,,"カードタイプ
サポート・ツール
レアリティ
C
収録商品
スタートデッキ 赤 百鬼あやめ
能力テキスト
このツールが付いているホロメンのアーツ+10。
◆1st以上の〈百鬼あやめ〉に付いていたら能力追加
このツールが付いているホロメンのアーツ+10。
ツールは、自分のホロメン1人につき1枚だけ付けられる。
イラストレーター名：
はずき
カードナンバー：
hSD02-013"
hSD02,hBP01-104,ふつうのパソコン,https://hololive-official-cardgame.com/cardlist/?id=145&%2Fcardlist%2Fcardsearch_ex=&expansion=hSD02&view=image,https://hololive-official-cardgame.com/wp-content/images/cardlist/hBP01/hBP01-104_C.png,2024年09月20日(金) / 2024年12月20日(金) / 2025年02月28日(金) / 2025年11月21日(金),ブースターパック「ブルーミングレディアンス」 / スタートデッキ 赤 百鬼あやめ / スタートデッキ 紫 癒月ちょこ / スタートデッキ 白 轟はじめ / スタートデッキ 緑 風真いろは / スタートデッキ 黄 不知火フレア / スタートデッキ FLOW GLOW 推し 輪堂千速 / スタートデッキ FLOW GLOW 推し 虎金妃笑虎,イラストレーター名：JinArt KABAKURAカードナンバー：hBP01-104,2,"Q: Q 自分のステージに6人のホロメンがいて、これ以上ホロメンを出すことができない時に、hBP01-104〈ふつうのパソコン〉を使用することができますか？
A: A いいえ、使用できません。

Q: Q hBP01-104〈ふつうのパソコン〉を使用し、デッキの中に望むカードがなかった場合、他にDebutホロメンがある場合でもそれを公開しなくてもよいですか？
A: A はい、公開しなくてもよいです。 その場合は、デッキをシャッフルして能力が終了します。","カードタイプ
サポート・アイテム
レアリティ
C
収録商品
ブースターパック「ブルーミングレディアンス」
スタートデッキ 赤 百鬼あやめ
スタートデッキ 紫 癒月ちょこ
スタートデッキ 白 轟はじめ
スタートデッキ 緑 風真いろは
スタートデッキ 黄 不知火フレア
スタートデッキ FLOW GLOW 推し 輪堂千速
スタートデッキ FLOW GLOW 推し 虎金妃笑虎
能力テキスト
自分のデッキから、Debutホロメン１枚を公開し、ステージに出す。そしてデッキをシャッフルする。
イラストレーター名：
JinArt KABAKURA
カードナンバー：
hBP01-104"
hSD02,hBP01-108,じゃあ敵だね,https://hololive-official-cardgame.com/cardlist/?id=149&%2Fcardlist%2Fcardsearch_ex=&expansion=hSD02&view=image,https://hololive-official-cardgame.com/wp-content/images/cardlist/hBP01/hBP01-108_U.png,2024年09月20日(金) / 2024年12月20日(金) / 2025年02月28日(金) / 2025年08月29日(金),ブースターパック「ブルーミングレディアンス」 / スタートデッキ 赤 百鬼あやめ / スタートデッキ 青 猫又おかゆ / スタートデッキ 白 轟はじめ / スタートデッキ 白 天音かなた / スタートデッキ 赤 宝鐘マリン,カードナンバー：hBP01-108,3,"Q: Q hBP01-108〈じゃあ敵だね〉について、相手のステージにセンターホロメンがいない場合や、バックホロメンがいない場合に、このカードを使用することはできますか？
A: A いいえ、使用できません。対象を選ぶことができず、その後の効果を解決できない場合に、サポートカードの使用ができません。

Q: Q hBP01-108〈じゃあ敵だね〉について、相手のセンターホロメンとバックホロメンを交代させる時、お休みしているホロメンを選ぶことはできますか？
A: A はい、できます。

Q: Q ターンプレイヤーが「じゃあ敵だね」を使った時、交代させるバックホロメンを選ぶのはどちらのプレイヤーですか？
A: A 「じゃあ敵だね」を使ったターンプレイヤーになります。","カードタイプ
サポート・イベント・LIMITED
レアリティ
U
収録商品
ブースターパック「ブルーミングレディアンス」
スタートデッキ 赤 百鬼あやめ
スタートデッキ 青 猫又おかゆ
スタートデッキ 白 轟はじめ
スタートデッキ 白 天音かなた
スタートデッキ 赤 宝鐘マリン
能力テキスト
相手のセンターホロメンとバックホロメン１人を交代させる。
LIMITED：ターンに１枚しか使えない。
カードナンバー：
hBP01-108"
hSD02,hSD01-016,春先のどか,https://hololive-official-cardgame.com/cardlist/?id=16&%2Fcardlist%2Fcardsearch_ex=&expansion=hSD02&view=image,https://hololive-official-cardgame.com/wp-content/images/cardlist/hSD01/hSD01-016_C.png,2024年09月20日(金) / 2024年12月20日(金) / 2025年02月28日(金) / 2025年11月21日(金),ブースターパック「ブルーミングレディアンス」 / スタートデッキ「ときのそら＆AZKi」 / スタートデッキ 赤 百鬼あやめ / スタートデッキ 青 猫又おかゆ / スタートデッキ 紫 癒月ちょこ / スタートデッキ 白 轟はじめ / スタートデッキ 緑 風真いろは / スタートデッキ 黄 不知火フレア / スタートデッキ FLOW GLOW 推し 輪堂千速 / スタートデッキ FLOW GLOW 推し 虎金妃笑虎,イラストレーター名：Yoshimoカードナンバー：hSD01-016,0,,"カードタイプ
サポート・スタッフ・LIMITED
レアリティ
C
収録商品
ブースターパック「ブルーミングレディアンス」
スタートデッキ「ときのそら＆AZKi」
スタートデッキ 赤 百鬼あやめ
スタートデッキ 青 猫又おかゆ
スタートデッキ 紫 癒月ちょこ
スタートデッキ 白 轟はじめ
スタートデッキ 緑 風真いろは
スタートデッキ 黄 不知火フレア
スタートデッキ FLOW GLOW 推し 輪堂千速
スタートデッキ FLOW GLOW 推し 虎金妃笑虎
能力テキスト
自分のデッキを３枚引く。
LIMITED：ターンに１枚しか使えない。
イラストレーター名：
Yoshimo
カードナンバー：
hSD01-016"
hSD02,hSD01-017,マネちゃん,https://hololive-official-cardgame.com/cardlist/?id=17&%2Fcardlist%2Fcardsearch_ex=&expansion=hSD02&view=image,https://hololive-official-cardgame.com/wp-content/images/cardlist/hSD01/hSD01-017_C.png,2024年09月20日(金) / 2024年12月20日(金) / 2025年02月28日(金) / 2025年08月29日(金) / 2025年11月21日(金),スタートデッキ「ときのそら＆AZKi」 / スタートデッキ 赤 百鬼あやめ / スタートデッキ 青 猫又おかゆ / スタートデッキ 紫 癒月ちょこ / スタートデッキ 白 轟はじめ / スタートデッキ 緑 風真いろは / スタートデッキ 黄 不知火フレア / スタートデッキ 白 天音かなた / スタートデッキ 赤 宝鐘マリン / スタートデッキ FLOW GLOW 推し 輪堂千速 / スタートデッキ FLOW GLOW 推し 虎金妃笑虎,イラストレーター名：株式会社HIKE / Trigonoカードナンバー：hSD01-017,2,"Q: Q 自分の手札が5枚で、デッキが0枚の時に、手札にあるhSD01-017〈マネちゃん〉を使用できますか？
A: A はい、できます。 その場合、手札をすべてデッキに戻してシャッフルした後、デッキから可能な限り引きます。

Q: Q hSD01-017〈マネちゃん〉の「このカードは、自分の手札がこのカードを含まずに１枚以上なければ使えない。」とは1枚のときも含みますか？
A: A はい、含みます。","カードタイプ
サポート・スタッフ・LIMITED
レアリティ
C
収録商品
スタートデッキ「ときのそら＆AZKi」
スタートデッキ 赤 百鬼あやめ
スタートデッキ 青 猫又おかゆ
スタートデッキ 紫 癒月ちょこ
スタートデッキ 白 轟はじめ
スタートデッキ 緑 風真いろは
スタートデッキ 黄 不知火フレア
スタートデッキ 白 天音かなた
スタートデッキ 赤 宝鐘マリン
スタートデッキ FLOW GLOW 推し 輪堂千速
スタートデッキ FLOW GLOW 推し 虎金妃笑虎
能力テキスト
このカードは、自分の手札がこのカードを含まずに１枚以上なければ使えない。
自分の手札すべてをデッキに戻してシャッフルする。そして自分のデッキを５枚引く。
LIMITED：ターンに１枚しか使えない。
イラストレーター名：
株式会社HIKE / Trigono
カードナンバー：
hSD01-017"
hSD02,hSD01-018,サブパソコン,https://hololive-official-cardgame.com/cardlist/?id=18&%2Fcardlist%2Fcardsearch_ex=&expansion=hSD02&view=image,https://hololive-official-cardgame.com/wp-content/images/cardlist/hSD01/hSD01-018_C.png,2024年09月20日(金) / 2024年12月20日(金) / 2025年02月28日(金),スタートデッキ「ときのそら＆AZKi」 / スタートデッキ 赤 百鬼あやめ / スタートデッキ 黄 不知火フレア,イラストレーター名：JinArt こばやかわやまとカードナンバー：hSD01-018,0,,"カードタイプ
サポート・アイテム
レアリティ
C
収録商品
スタートデッキ「ときのそら＆AZKi」
スタートデッキ 赤 百鬼あやめ
スタートデッキ 黄 不知火フレア
能力テキスト
自分のデッキの上から５枚を見る。その中から、LIMITEDのサポートカード１枚を公開し、手札に加える。そして残ったカードを好きな順でデッキの下に戻す。
イラストレーター名：
JinArt こばやかわやまと
カードナンバー：
hSD01-018"
hSD02,hSD02-001,百鬼あやめ,https://hololive-official-cardgame.com/cardlist/?id=225&%2Fcardlist%2Fcardsearch_ex=&expansion=hSD02&view=image,https://hololive-official-cardgame.com/wp-content/images/cardlist/hSD02/hSD02-001_OC.png,2024年12月20日(金),【使用可能カード】エントリーカップ「アヤカシヴァーミリオン」 / スタートデッキ 赤 百鬼あやめ,イラストレーター名：松尾 省吾カードナンバー：hSD02-001,0,,"カードタイプ
推しホロメン
レアリティ
OC
収録商品
【使用可能カード】エントリーカップ「アヤカシヴァーミリオン」
スタートデッキ 赤 百鬼あやめ
色
LIFE
5
推しスキル
[ホロパワー：2消費]
レッドマイク
[ターンに1回]このターンの間、自分の赤センターホロメンのアーツ+20。
SP推しスキル
[ホロパワー：1消費]
さあ！もう一度！
[ゲームに1回]自分のアーカイブの赤ホロメン1枚を手札に戻す。
イラストレーター名：
松尾 省吾
カードナンバー：
hSD02-001"
hSD02,hSD02-002,百鬼あやめ,https://hololive-official-cardgame.com/cardlist/?id=226&%2Fcardlist%2Fcardsearch_ex=&expansion=hSD02&view=image,https://hololive-official-cardgame.com/wp-content/images/cardlist/hSD02/hSD02-002_C.png,2024年12月20日(金),【使用可能カード】エントリーカップ「アヤカシヴァーミリオン」 / スタートデッキ 赤 百鬼あやめ,カードナンバー：hSD02-002,0,,"カードタイプ
ホロメン
タグ
#JP
#2期生
#シューター
レアリティ
C
収録商品
【使用可能カード】エントリーカップ「アヤカシヴァーミリオン」
スタートデッキ 赤 百鬼あやめ
色
HP
90
Bloomレベル
Debut
バトンタッチ
アーツ
こんなきり～　30
エクストラ
このホロメンはデッキに何枚でも入れられる
カードナンバー：
hSD02-002"
hSD02,hSD02-003,百鬼あやめ,https://hololive-official-cardgame.com/cardlist/?id=227&%2Fcardlist%2Fcardsearch_ex=&expansion=hSD02&view=image,https://hololive-official-cardgame.com/wp-content/images/cardlist/hSD02/hSD02-003_C.png,2024年12月20日(金),【使用可能カード】エントリーカップ「アヤカシヴァーミリオン」 / スタートデッキ 赤 百鬼あやめ,イラストレーター名：うさのカードナンバー：hSD02-003,0,,"カードタイプ
ホロメン
タグ
#JP
#2期生
#シューター
レアリティ
C
収録商品
【使用可能カード】エントリーカップ「アヤカシヴァーミリオン」
スタートデッキ 赤 百鬼あやめ
色
HP
70
Bloomレベル
Debut
バトンタッチ
キーワード
業
相手のコラボホロメンに特殊ダメージ10を与える。
アーツ
不知火　30
イラストレーター名：
うさの
カードナンバー：
hSD02-003"
