expansion,card_code,rarity,print_hint,print_id,acquisition_type,source_name,acquired_qty,unit_cost,currency,acquired_at,note
,hBP04-063,P,6123,6123,OTHER,店家賽,1,200,NTD,2026/1/10,
,hSD11-007,P,6042,6042,OTHER,店家賽,1,0,NTD,2026/1/10,
,hSD10-007,P,6040,6040,OTHER,店家賽,1,0,NTD,2026/1/10,
,hSD10-002,P,6039,6039,OTHER,店家賽,1,250,NTD,2026/1/10,
,hBP01-001,OSR,4384,4384,BUY_SINGLE,排塔,1,500,NTD,,
,hY01-002,P,5066,5066,GIFT,聖傑送,5,0,NTD,,
,hY01-001,C,4497,4497,BUY_BOX,,19,0,NTD,,
,hBp04-039,C,5048,5048,GIFT,,10,0,NTD,,
,hBP02-084,U,5100,5100,GIFT,,1,,,,
,hBP02-084,U,4625,4625,GIFT,,1,,,,
,hBP01-072,C,5466,5466,BUY_BOX,,6,,,,
,hBP06-045,SR,5649,5649,BUY_BOX,,1,,,,
,hBP06-045,RR,5526,5526,BUY_SINGLE,,3,,,,
,HBP06-042,C,5523,5523,BUY_BOX,,4,,,,
,HBP06-043,U,5524,5524,BUY_BOX,,4,,,,
,HBP06-044,R,5525,5525,BUY_SINGLE,,4,,,,
,HBP06-041,U,5522,5522,BUY_BOX,,4,,,,
,HBP06-040,C,5521,5521,BUY_BOX,,4,,,,
,hBp06-005,OSR,5483,5483,BUY_SINGLE,,1,,,,
,hY04-001,C,4501,4501,BUY_SINGLE,,20,,,,
,hBP01-012,U,4395,4395,BUY_BOX,,2,,,,
,hBP06-058,U,5540,5540,BUY_BOX,,1,,,,
,hBP06-067,S,5677,5677,BUY_BOX,,1,,,,
,hBP06-067,C,5552,5552,BUY_SHOP,,2,,,,
,hBp06-059,R,5541,5541,,,2,,,,
,hBp06-057,C,5539,5539,,,1,,,,
,hBP04-075,C,5088,5088,,,6,,,,
,hBP04-077,R,5090,5090,,,3,,,,
,hBP04-076,U,5089,5089,,,3,,,,
,hBP04-074,U,5087,5087,,,4,,,,
,hBP04-073,C,5080,5080,,,3,,,,
,hBP04-078,RR,5091,5091,,,3,,,,
