card_code,print_hint,acquisition_type,source_name,acquired_qty,unit_cost,currency,acquired_at,note
hY01-001,C,BUY_BOX,,19,0.0,J,,
hSD01-019,C,BUY_BOX,,2,0.0,J,,
hBP05-079,U,BUY_BOX,,1,0.0,J,,
hBP01-108,U,BUY_BOX,,2,0.0,J,,
hBP01-014,UR,BUY_SINGLE,,1,980.0,J,,
hBP01-019,C,BUY_BOX,,9,0.0,J,,
hBP01-114,C,BUY_SINGLE,,3,597.5574838,J,,
hSD08-004,RR,BUY_BOX,,2,0.0,J,,
hBP01-011,C,BUY_BOX,,2,0.0,J,,
hBP01-116,C,BUY_SINGLE,,2,0.0,J,,
hBP01-013,RR,BUY_BOX,,4,0.0,J,,
hBP01-012,U,BUY_BOX,,2,0.0,J,,
hBP01-012,P,BUY_SINGLE,,1,497.0,J,,
hBP01-014,RR,BUY_BOX,,3,0.0,J,,
hBP05-080,U,BUY_BOX,,1,746.0,J,,
hBP05-080,P,BUY_SINGLE,,1,1800.0,J,,
hBP02-084,U,BUY_SINGLE,,1,200.0,J,,
